series,p_GeV_c,sigma_dcaxy_cm,sigma_error_cm
3 PXL layers only,2.66699,0.00252934,
3 PXL layers only,2.68699,0.00252934,
3 PXL layers only,2.70699,0.00252934,
3 PXL layers only,2.72699,0.00252934,
3 PXL layers only,2.74699,0.00251630,
3 PXL layers only,2.80699,0.00251630,
3 PXL layers only,2.82699,0.00251630,
3 PXL layers only,2.84699,0.00251630,
3 PXL layers only,2.86699,0.00251630,
3 PXL layers only,2.90699,0.00251630,
3 PXL layers only,2.92699,0.00250326,
3 PXL layers only,2.94699,0.00250326,
3 PXL layers only,2.96699,0.00250326,
3 PXL layers only,2.98699,0.00250326,
3 PXL layers only,3.04699,0.00250326,
3 PXL layers only,3.06699,0.00250326,
3 PXL layers only,3.08699,0.00250326,
3 PXL layers only,3.10699,0.00250326,
3 PXL layers only,3.14699,0.00250326,
3 PXL layers only,3.16699,0.00250326,
3 PXL layers only,3.18699,0.00249022,
3 PXL layers only,3.20699,0.00249022,
3 PXL layers only,3.22699,0.00249022,
3 PXL layers only,3.28699,0.00249022,
3 PXL layers only,3.30699,0.00249022,
3 PXL layers only,3.32699,0.00249022,
3 PXL layers only,3.34699,0.00249022,
3 PXL layers only,3.38699,0.00249022,
3 PXL layers only,3.40699,0.00249022,
3 PXL layers only,3.42699,0.00249022,
3 PXL layers only,3.44699,0.00247718,
3 PXL layers only,3.46699,0.00247718,
3 PXL layers only,3.52699,0.00247718,
3 PXL layers only,3.54699,0.00247718,
3 PXL layers only,3.56699,0.00247718,
3 PXL layers only,3.58699,0.00247718,
3 PXL layers only,3.62699,0.00247718,
3 PXL layers only,3.64699,0.00247718,
3 PXL layers only,3.66699,0.00247718,
3 PXL layers only,3.68699,0.00247718,
3 PXL layers only,3.70699,0.00247718,
3 PXL layers only,3.76699,0.00247718,
3 PXL layers only,3.78699,0.00247718,
3 PXL layers only,3.80699,0.00247718,
3 PXL layers only,3.82699,0.00247718,
3 PXL layers only,3.86699,0.00247718,
3 PXL layers only,3.88699,0.00247718,
3 PXL layers only,3.90699,0.00246415,
3 PXL layers only,3.92699,0.00246415,
3 PXL layers only,3.94699,0.00246415,
3 PXL layers only,3.98699,0.00245111,
3 PXL layers only,4.00699,0.00246415,
3 PXL layers only,4.02699,0.00246415,
3 PXL layers only,4.04699,0.00246415,
3 PXL layers only,4.06699,0.00246415,
3 PXL layers only,4.10699,0.00246415,
3 PXL layers only,4.12699,0.00246415,
3 PXL layers only,4.14699,0.00246415,
3 PXL layers only,4.16699,0.00246415,
3 PXL layers only,4.18699,0.00246415,
3 PXL layers only,4.24699,0.00246415,
3 PXL layers only,4.26699,0.00246415,
3 PXL layers only,4.28699,0.00246415,
3 PXL layers only,4.30699,0.00246415,
3 PXL layers only,4.34699,0.00246415,
3 PXL layers only,4.36699,0.00246415,
3 PXL layers only,4.38699,0.00246415,
3 PXL layers only,4.40699,0.00246415,
3 PXL layers only,4.42699,0.00245111,
3 PXL layers only,4.48699,0.00245111,
3 PXL layers only,4.50699,0.00245111,
3 PXL layers only,4.52699,0.00245111,
3 PXL layers only,4.54699,0.00245111,
