energy,particle,centrality,pt,v2,stat,syst,glob,nq,mass,mt_minus_m0_over_nq,v2_over_nq,stat_over_nq,syst_over_nq,glob_over_nq,source,source_doi,table,table_doi,extraction
3.2,Lambda,10-40%,0.9,-0.006183,0.00255,0.001936,0.0,3,1.115683,0.1059188050015647,-0.002061,0.0008500000000000001,0.0006453333333333334,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
3.2,Lambda,10-40%,1.1,0.001529,0.003116,0.001199,0.0,3,1.115683,0.15036024023198155,0.0005096666666666666,0.0010386666666666667,0.00039966666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
3.2,Lambda,10-40%,1.3,-0.00299,0.004279,0.002818,0.0,3,1.115683,0.1991425944946507,-0.0009966666666666668,0.0014263333333333333,0.0009393333333333334,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
3.2,Lambda,10-40%,1.5,0.01784,0.006431,0.006425,0.0,3,1.115683,0.251247219739036,0.005946666666666667,0.0021436666666666666,0.0021416666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
3.2,Lambda,10-40%,1.8,0.027959,0.008887,0.003563,0.0,3,1.115683,0.3340131642649316,0.009319666666666667,0.0029623333333333337,0.0011876666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
3.2,Lambda,10-40%,2.25,0.044462,0.027628,0.022154,0.0,3,1.115683,0.4652468705059261,0.014820666666666668,0.009209333333333333,0.007384666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,0.5,-0.004783,0.000106,0.000274,0.0,3,0.93827208816,0.04163640939422245,-0.0015943333333333332,3.5333333333333336e-05,9.133333333333334e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,0.7,-0.006074,0.000114,9e-05,0.0,3,0.93827208816,0.07744977762985839,-0.002024666666666667,3.8e-05,3e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,0.9,-0.006818,0.000139,7.7e-05,0.0,3,0.93827208816,0.12062141841212888,-0.0022726666666666668,4.633333333333333e-05,2.5666666666666666e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,1.1,-0.006598,0.000189,0.000293,0.0,3,0.93827208816,0.16917791548653902,-0.002199333333333333,6.3e-05,9.766666666666668e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,1.3,-0.005063,0.000277,0.000357,0.0,3,0.93827208816,0.2216534770964725,-0.0016876666666666665,9.233333333333333e-05,0.000119,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,1.5,-0.0028,0.00043,0.000391,0.0,3,0.93827208816,0.2770029003832118,-0.0009333333333333333,0.00014333333333333334,0.00013033333333333335,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,1.7,0.003433,0.000691,0.000281,0.0,3,0.93827208816,0.3344893283079888,0.0011443333333333334,0.00023033333333333334,9.366666666666666e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,1.9,0.010782,0.001155,0.000366,0.0,3,0.93827208816,0.393591190790716,0.003594,0.000385,0.000122,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,2.1,0.026199,0.002011,0.000769,0.0,3,0.93827208816,0.4539349927496301,0.008733,0.0006703333333333334,0.00025633333333333335,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
3.2,p,10-40%,2.4,0.024493,0.003186,0.002,0.0,3,0.93827208816,0.5462054816077215,0.008164333333333334,0.001062,0.0006666666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27,direct HEPData v2(pT); NCQ transform computed locally
