#: table_doi: 10.17182/hepdata.95903.v1/t1
#: name: Figure 5
#: description: Centrality selection for STAR FXT sqrt(sNN) = 4.5 GeV Au+Au collisions
#: data_file: fig5.yaml
#: keyword reactions: AU AU --> X
#: keyword cmenergies: 4.5
#: Dataset,STAR FXT $\sqrt{s_{NN}}$ = 4.5 GeV
$N_{charged}$,$dN/dN_{charged}$,stat +,stat -
52.5,21381.09,154.6717,-154.6717
53.5,21026.4,153.3834,-153.3834
54.5,20803.74,152.5691,-152.5691
55.5,20672.82,152.0883,-152.0883
56.5,20517.3,151.5151,-151.5151
57.5,19870.57,149.1081,-149.1081
58.5,19762.04,148.7003,-148.7003
59.5,19482.31,147.6441,-147.6441
60.5,19231.68,146.6914,-146.6914
61.5,19095.17,146.1698,-146.1698
62.5,18595.02,144.2429,-144.2429
63.5,18565.93,144.13,-144.13
64.5,18026.62,142.0212,-142.0212
65.5,18118.37,142.3821,-142.3821
66.5,17649.55,140.528,-140.528
67.5,17438.08,139.6836,-139.6836
68.5,17247.87,138.9196,-138.9196
69.5,17174.02,138.6219,-138.6219
70.5,16986.04,137.8612,-137.8612
71.5,16633.59,136.4234,-136.4234
72.5,16448.97,135.6642,-135.6642
73.5,16305.75,135.0723,-135.0723
74.5,16231.9,134.7661,-134.7661
75.5,15590.77,132.0778,-132.0778
76.5,15933.16,133.5202,-133.5202
77.5,15417.34,131.3411,-131.3411
78.5,15537.07,131.8501,-131.8501
79.5,15358.04,131.0883,-131.0883
80.5,14983.21,129.4787,-129.4787
81.5,14791.88,128.6494,-128.6494
82.5,14848.94,128.8973,-128.8973
83.5,14570.34,127.6823,-127.6823
84.5,14140.68,125.7856,-125.7856
85.5,14373.41,126.8165,-126.8165
86.5,14035.5,125.317,-125.317
87.5,14012.0,125.212,-125.212
88.5,13894.52,124.686,-124.686
89.5,13863.19,124.5454,-124.5454
90.5,13514.09,122.9672,-122.9672
91.5,13540.95,123.0893,-123.0893
92.5,13404.44,122.4673,-122.4673
93.5,13073.25,120.9449,-120.9449
94.5,13073.25,120.9449,-120.9449
95.5,13186.25,121.4665,-121.4665
96.5,12881.91,120.0566,-120.0566
97.5,12470.16,118.1223,-118.1223
98.5,12680.51,119.1144,-119.1144
99.5,12413.09,117.8517,-117.8517
100.5,12337.01,117.49,-117.49
101.5,12282.18,117.2286,-117.2286
102.5,11701.47,114.4238,-114.4238
103.5,12115.47,116.4303,-116.4303
104.5,11846.93,115.1327,-115.1327
105.5,11618.67,114.0182,-114.0182
106.5,11774.2,114.7788,-114.7788
107.5,11514.62,113.5065,-113.5065
108.5,11627.62,114.0621,-114.0621
109.5,11451.96,113.1972,-113.1972
110.5,11143.14,111.6605,-111.6605
111.5,11294.19,112.4148,-112.4148
112.5,11285.24,112.3703,-112.3703
113.5,10912.65,110.4997,-110.4997
114.5,10871.25,110.2899,-110.2899
115.5,10894.74,110.409,-110.409
116.5,10609.42,108.9537,-108.9537
117.5,10650.82,109.166,-109.166
118.5,10541.17,108.6026,-108.6026
119.5,10557.95,108.6891,-108.6891
120.5,10431.52,108.0363,-108.0363
121.5,10347.6,107.6009,-107.6009
122.5,10337.53,107.5485,-107.5485
123.5,10096.97,106.2898,-106.2898
124.5,9978.364,105.6636,-105.6636
125.5,9941.44,105.468,-105.468
126.5,9745.632,104.4241,-104.4241
127.5,9618.078,103.7385,-103.7385
128.5,9675.142,104.0458,-104.0458
129.5,9729.968,104.3402,-104.3402
130.5,9679.617,104.0699,-104.0699
131.5,9383.108,102.4635,-102.4635
132.5,9407.724,102.5978,-102.5978
133.5,9340.59,102.2311,-102.2311
134.5,9317.093,102.1024,-102.1024
135.5,9186.182,101.3826,-101.3826
136.5,8821.42,99.34938,-99.34938
137.5,8979.185,100.2338,-100.2338
138.5,8804.636,99.25483,-99.25483
139.5,8945.618,100.0463,-100.0463
140.5,8624.493,98.2342,-98.2342
141.5,8747.572,98.93266,-98.93266
142.5,8700.578,98.66656,-98.66656
143.5,8636.801,98.30427,-98.30427
144.5,8327.984,96.53079,-96.53079
145.5,8440.993,97.18354,-97.18354
146.5,8200.429,95.78869,-95.78869
147.5,8398.475,96.93847,-96.93847
148.5,8148.96,95.48761,-95.48761
149.5,8075.112,95.05396,-95.05396
150.5,7959.866,94.37323,-94.37323
151.5,7962.103,94.38649,-94.38649
152.5,7835.667,93.63408,-93.63408
153.5,7730.491,93.00354,-93.00354
154.5,7616.363,92.31446,-92.31446
155.5,7539.159,91.84539,-91.84539
156.5,7516.781,91.70898,-91.70898
157.5,7444.052,91.26424,-91.26424
158.5,7266.147,90.16708,-90.16708
159.5,7269.503,90.18791,-90.18791
160.5,7294.119,90.34047,-90.34047
161.5,7164.327,89.5331,-89.5331
162.5,6979.708,88.37197,-88.37197
163.5,7051.317,88.82415,-88.82415
164.5,6800.684,87.23127,-87.23127
165.5,6695.507,86.5541,-86.5541
166.5,6610.47,86.00271,-86.00271
167.5,6537.742,85.52829,-85.52829
168.5,6344.172,84.25262,-84.25262
169.5,6357.599,84.34173,-84.34173
170.5,6120.391,82.75334,-82.75334
171.5,6078.992,82.47299,-82.47299
172.5,5932.416,81.47263,-81.47263
173.5,5703.041,79.88205,-79.88205
