energy_GeV,particle,data_yield,data_err,gc_model_yield,gc_model_err_low,gc_model_err_high,sce_blended_model_yield,sce_blended_model_err_low,sce_blended_model_err_high,data_source,model_source,note
21.3076,phi,,,3.2007978921e+00,0.3790857163,0.3888930371,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,K+,,,3.1040444077e+01,3.501454023,3.556883912,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,K-,,,2.1577783648e+01,2.52463274,2.579012995,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,Ks0,,,2.5638369632e+01,2.882625298,2.934763842,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,Lambda,,,1.2076286858e+01,1.597507671,1.649931385,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,Lambda_bar,,,2.3222486540e+00,0.3295464876,0.3447445535,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,Xi,,,1.5141711562e+00,0.2152947922,0.2237787343,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,Xi_bar,,,4.6467603417e-01,0.06904101808,0.07235797444,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
22.8036,phi,,,3.3302187795e+00,0.394197178,0.4032194546,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,K+,,,3.1662431391e+01,3.615170954,3.668161143,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,K-,,,2.2515207533e+01,2.655205709,2.707426402,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,Ks0,,,2.6396835442e+01,3.002327428,3.052206651,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,Lambda,,,1.2009842307e+01,1.595658332,1.644899295,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,Lambda_bar,,,2.5509537916e+00,0.3610348503,0.3764667149,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,Xi,,,1.5302938594e+00,0.2177351754,0.2258171865,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,Xi_bar,,,5.0410932329e-01,0.07463372047,0.07798129518,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
24.4047,phi,,,3.4570771706e+00,0.4122614444,0.4209117548,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,K+,,,3.2273465199e+01,3.74484,3.797564751,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,K-,,,2.3443686204e+01,2.80100107,2.853176011,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,Ks0,,,2.7145699439e+01,3.137858307,3.187628189,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,Lambda,,,1.1945585258e+01,1.603365737,1.651312962,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,Lambda_bar,,,2.7866544908e+00,0.3962993822,0.41248315,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,Xi,,,1.5452286878e+00,0.2212914266,0.2292257274,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,Xi_bar,,,5.4421623563e-01,0.08083862831,0.08431520345,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
26.1182,phi,,,3.5813222098e+00,0.4328485403,0.4414929398,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
27,K+,31.06865,2.815112332,3.2568909647e+01,3.81278663,3.866102976,,,,"ins1510593/dN/dy, 27 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
27,K-,22.62347,2.05987152,2.3894600560e+01,2.876916141,2.929770192,,,,"ins1510593/dN/dy, 27 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
27,Ks0,23.24,0.7057619995,2.7508777267e+01,3.208782775,3.259211133,,,,ins1738953/K0S dN/dy 27 GeV,THERMUS GCE parametrized fit,
27,Lambda,11.67,0.5115662225,1.1915171758e+01,1.609874891,1.657779551,,,,ins1738953/Lambda dN/dy 27 GeV,THERMUS GCE parametrized fit,
27,Lambda_bar,2.75,0.1403566885,2.9042489532e+00,0.4148760411,0.4316189686,,,,ins1738953/AntiLambda dN/dy 27 GeV,THERMUS GCE parametrized fit,
27,Xi,1.57,0.1104536102,1.5521543194e+00,0.2233584058,0.2313022041,,,,ins1738953/Xi- dN/dy 27 GeV,THERMUS GCE parametrized fit,
27,Xi_bar,0.598,0.03847076812,5.6404012258e-01,0.084084063,0.08765938623,,,,ins1738953/AntiXi+ dN/dy 27 GeV,THERMUS GCE parametrized fit,
27,phi,3.01,0.4517742799,3.6411799053e+00,0.4436764391,0.4524387755,,,,ins1738953/Phi dN/dy 27 GeV,THERMUS GCE parametrized fit,
