index,title,star_url,journal_raw,journal,year,reference,status,journal_link,journal_link_text,hepdata_link,arxiv_id,arxiv_abs_link,inspire_id,fetch_error
207,Bulk Properties of the Medium Produced in Relativistic Heavy-Ion Collisions from the Beam Energy Scan Program,https://drupal.star.bnl.gov/STAR/publications/bulk-properties-medium-produced-relativistic-heavy-ion-collisions-beam-energy-scan-prog,PRC 2017,PRC,2017,Phys. Rev. C 96 (2017) 44904,published,http://link.aps.org/abstract/PRC/V96/P044904,Phys. Rev. C server,https://www.hepdata.net/record/ins1510593,1701.07065,http://arxiv.org/abs/1701.07065,,
200,Beam-Energy Dependence of Charge Balance Functions from Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-charge-balance-functions-auau-collisions-rhic,PRC 2016,PRC,2016,Phys. Rev. C 94 (2016) 24909,published,http://link.aps.org/abstract/PRC/V94/P024909,Phys. Rev. C server,https://www.hepdata.net/record/ins1382600,1507.03539,http://arxiv.org/abs/1507.03539,,
197,Energy dependence of acceptance-corrected dielectron excess mass spectrum at mid-rapidity in Au+Au collisions at $\sqrt{s_{NN}} = 19.6$ and 200 GeV,https://drupal.star.bnl.gov/STAR/publications/energy-dependence-acceptance-corrected-dielectron-excess-mass-spectrum-mid-rapidity-auau-collisions-sqrtsnn-196-and,PLB 2015,PLB,2015,Phys. Lett. B 750 (2015) 64,published,http://dx.doi.org/10.1016/j.physletb.2015.08.044,Phys. Lett. B server,https://www.hepdata.net/record/ins1340691,1501.05341,http://arxiv.org/abs/1501.05341,,
191,Beam-energy dependence of charge separation along the magnetic field in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-charge-separation-along-magnetic-%EF%AC%81eld-auau-collisions-rhic,PRL 2014,PRL,2014,Phys. Rev. Lett. 113 (2014) 52302,published,http://link.aps.org/abstract/PRL/V113/P052302,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1288917,1404.1433,http://arxiv.org/abs/1404.1433,,
188,Probing Parton Dynamics of QCD Matter with Omega and Phi Production,https://drupal.star.bnl.gov/STAR/publications/probing-parton-dynamics-qcd-matter-omega-and-phi-production,PRC 2016,PRC,2016,Phys. Rev. C 93 (2016) 21903,published,http://link.aps.org/abstract/PRC/V93/P021903,Phys. Rev. C server,https://www.hepdata.net/record/ins1378002,1506.07605,http://arxiv.org/abs/1506.07605,,
185,"K/pi, p/pi, and K/p Fluctuations in Au+Au Collisions from sqrt(sNN) = 7.7 to 200 GeV",https://drupal.star.bnl.gov/STAR/publications/energy-dependence-kpi-ppi-and-kp-fluctuations-auau-collisions-sqrt_snn-77-200-gev,PRC 2015,PRC,2015,Phys. Rev. C 92 (2015) 21901,published,http://link.aps.org/abstract/PRC/V92/P021901,Phys. Rev. C server,https://www.hepdata.net/record/ins1322965,1410.5375,http://arxiv.org/abs/1410.5375,,
180,Beam energy dependent two-pion interferometry and the freeze-out eccentricity of pions in heavy ion collisions at STAR,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependent-two-pion-interferometry-and-freeze-out-eccentricity-pions-heavy-ion-collisions-star,PRC 2015,PRC,2015,Phys. Rev. C 92 (2015) 14904,published,http://link.aps.org/abstract/PRC/V92/P014904,Phys. Rev. C server,https://www.hepdata.net/record/ins1286656,1403.4972,http://arxiv.org/abs/1403.4972,,
175,"Beam-Energy Dependence of Directed Flow of Protons, Antiprotons and Pions in Au+Au Collisions",https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-directed-flow-protons-antiprotons-and-pions-auau-collisions,PRL 2014,PRL,2014,Phys. Rev. Lett. 112 (2014) 162301,published,http://link.aps.org/abstract/PRL/V112/P162301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1277069,1401.3043,http://arxiv.org/abs/1401.3043,,
174,"Elliptic flow of non-photonic electrons in Au+Au collisions at $\sqrt{s_{\rm NN}} = $ 200, 62.4 and 39 GeV",https://drupal.star.bnl.gov/STAR/publications/elliptic-flow-non-photonic-electrons-auau-collisions-snn%E2%80%BE%E2%80%BE%E2%80%BE%E2%80%BE%E2%88%9A-200-624-and-39-gev,PRC 2017,PRC,2017,Phys. Rev. C 95 (2017) 34907,published,http://link.aps.org/abstract/PRC/V95/P034907,Phys. Rev. C server,https://www.hepdata.net/record/ins1298024,1405.6348,http://arxiv.org/abs/1405.6348,,
173,Beam energy dependence of moments of the net-charge multiplicity distributions in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-moments-net-charge-multiplicity-distributions-auau-collisions-rhic,PRL 2014,PRL,2014,Phys. Rev. Lett. 113 (2014) 92301,published,http://link.aps.org/abstract/PRL/V113/P092301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1280557,1402.1558,http://arxiv.org/abs/1402.1558,,
171,Energy dependence of moments of net-proton multiplicity distributions at RHIC,https://drupal.star.bnl.gov/STAR/publications/energy-dependence-moments-net-proton-multiplicity-distributions-rhic,PRL 2013,PRL,2013,Phys. Rev. Lett. 112 (2014) 32302,published,http://link.aps.org/abstract/PRL/V112/P032302,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1255072,1309.5681,http://arxiv.org/abs/1309.5681,,
168,Elliptic flow of identified hadrons in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7 - 62.4 GeV,https://drupal.star.bnl.gov/STAR/publications/elliptic-flow-identified-hadrons-auau-collisions-sqrtsnn-77-624-gev,PRC 2013,PRC,2013,Phys. Rev. C 88 (2013) 14902,published,http://link.aps.org/abstract/PRC/V88/P014902,Phys. Rev. C server,https://www.hepdata.net/record/ins1210464,1301.2348,http://arxiv.org/abs/1301.2348,,
167,Observation of an energy-dependent difference in elliptic flow between particles and anti-particles in relativistic heavy ion collisions,http://drupal.star.bnl.gov/STAR/publications/observation-energy-dependent-difference-elliptic-flow-between-particles-and-antiparticles-relativistic-heavy-ion-co,PRL 2013,PRL,2013,Phys. Rev. Lett. 110 (2013) 142301,published,http://link.aps.org/abstract/PRL/V110/P142301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1210463,1301.2347,http://arxiv.org/abs/1301.2347,,
157,Inclusive charged hadron elliptic flow in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7 - 39 GeV,http://drupal.star.bnl.gov/STAR/publications/inclusive-charged-hadron-elliptic-flow-au-au-collisions-sqrtsnn-77-39-gev,PRC 2012,PRC,2012,Phys. Rev. C 86 (2012) 54908,published,http://link.aps.org/abstract/PRC/V86/P054908,Phys. Rev. C server,https://www.hepdata.net/record/ins1119620,,http://arxiv.org/abs/arXiv:1206.5528,,
34,Identified particle distributions in pp and Au+Au collisions at $\sqrt{s_{NN}}$=200 GeV,http://drupal.star.bnl.gov/STAR/publications/identified-particle-distributions-pp-and-au-au-collisions-sqrt-s-sub-nn-sub-200-gev,PRL 2004,PRL,2004,Phys. Rev. Lett. 92 (2004) 112301,published,http://link.aps.org/abstract/PRL/V92/E112301/,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins630160,,http://arxiv.org/abs/nucl-ex/0310004,,
43,Phi meson production in Au+Au and p+p collisions at $\sqrt{s_{NN}}$ =200 GeV,http://drupal.star.bnl.gov/STAR/publications/phi-meson-production-au-au-and-p-p-collisions-sqrt-s-200-gev,PLB 2005,PLB,2005,Phys. Lett. B 612 (2005) 181,published,http://dx.doi.org/10.1016/j.physletb.2004.12.082,Phys. Lett. B server,https://www.hepdata.net/record/ins651461,,http://arxiv.org/abs/nucl-ex/0406003,,
137,Strangeness Enhancement in Cu+Cu and Au+Au \sqrt{s_{NN}} 200 GeV Collisions,http://drupal.star.bnl.gov/STAR/publications/strangeness-enhancement-cucu-and-auau-sqrtsnn-200-gev-collisions,PRL 2012,PRL,2012,Phys. Rev. Lett. 108 (2012) 72301,published,http://link.aps.org/abstract/PRL/V108/P072301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins918779,1107.2955,http://arxiv.org/abs/1107.2955,,
